"","date","calburned","steps","distance","floors","minsed","minlight","minmod","minintense","activitycal","sleepmin","awakemin","awakings","restmin","sleepeff","Season","sleephours"
"1",2015-05-09,3631,18925,14.11,4,611,316,61,60,2248,384,26,23,417,93.6585365853659,"spring",6.4
"2",2015-05-10,3204,14228,10.57,1,602,226,14,77,1719,454,35,21,491,92.8425357873211,"spring",7.56666666666667
"3",2015-05-11,2673,6756,5.02,8,749,190,23,4,962,387,46,25,436,89.3764434180139,"spring",6.45
"4",2015-05-12,2495,5020,3.73,1,876,171,0,0,736,311,31,21,350,90.9356725146199,"spring",5.18333333333333
"5",2015-05-13,2760,7790,5.79,15,726,172,34,18,1094,407,65,44,491,86.228813559322,"spring",6.78333333333333
"6",2015-05-14,2687,5614,4.17,2,782,216,13,1,983,405,47,31,457,89.6017699115044,"spring",6.75
"7",2015-05-15,2793,8169,6.07,14,801,218,8,7,1092,381,28,12,415,93.1540342298289,"spring",6.35
"8",2015-05-16,4061,19971,14.84,18,532,247,101,118,2700,269,34,16,306,88.7788778877888,"spring",4.48333333333333
"9",2015-05-17,3349,8520,6.33,12,606,186,46,73,1766,452,26,18,507,94.5606694560669,"spring",7.53333333333333
"10",2015-05-18,2961,11998,8.91,20,936,189,18,51,1371,269,17,11,291,94.0559440559441,"spring",4.48333333333333
"11",2015-05-19,2911,12425,9.23,14,827,186,18,54,1351,167,9,8,180,94.8863636363636,"spring",2.78333333333333
"12",2015-05-20,2569,6008,4.46,8,783,214,15,2,939,368,50,27,420,88.0382775119617,"spring",6.13333333333333
"13",2015-05-21,3228,16291,12.1,18,616,237,48,52,1766,386,30,22,420,92.7884615384615,"spring",6.43333333333333
"14",2015-05-22,2529,6111,4.54,8,820,190,14,5,882,351,46,26,399,88.4130982367758,"spring",5.85
"15",2015-05-23,4197,17928,13.32,17,533,262,79,132,2880,314,32,26,353,90.7514450867052,"spring",5.23333333333333
"16",2015-05-24,3899,13893,10.32,6,641,222,33,140,2502,432,35,24,469,92.5053533190578,"spring",7.2
"17",2015-05-25,2519,5109,3.8,8,861,200,0,0,847,224,24,19,270,90.3225806451613,"spring",3.73333333333333
"18",2015-05-26,2357,4430,3.29,6,1269,156,0,0,644,0,0,0,0,NA,"spring",0
"19",2015-05-27,3209,7498,5.57,18,692,196,64,50,1676,389,39,28,430,90.8878504672897,"spring",6.48333333333333
"20",2015-05-28,2811,8490,6.31,14,771,212,8,13,1148,381,24,17,412,94.0740740740741,"spring",6.35
"21",2015-05-29,2558,5650,4.2,8,789,208,0,0,890,417,66,32,486,86.3354037267081,"spring",6.95
"22",2015-05-30,4170,21479,15.98,16,503,230,55,153,2794,464,35,26,503,92.9859719438878,"spring",7.73333333333333
"23",2015-05-31,3533,18995,14.11,12,660,269,86,43,2092,328,53,25,382,86.0892388451444,"spring",5.46666666666667
"24",2015-06-01,3354,16836,12.51,8,586,248,35,70,1862,426,54,33,495,88.75,"summer",7.1
"26",2015-06-02,3369,15944,11.85,29,640,214,15,93,1827,430,41,26,484,91.2951167728238,"summer",7.16666666666667
"28",2015-06-03,3168,14273,10.6,11,721,178,16,89,1592,376,46,30,436,89.0995260663507,"summer",6.26666666666667
"30",2015-06-04,3470,16060,11.93,11,724,239,38,70,1939,312,44,25,369,87.6404494382023,"summer",5.2
