Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes
"09-05-2015","384","26","23","417"
"10-05-2015","454","35","21","491"
"11-05-2015","387","46","25","436"
"12-05-2015","311","31","21","350"
"13-05-2015","407","65","44","491"
"14-05-2015","405","47","31","457"
"15-05-2015","381","28","12","415"
"16-05-2015","269","34","16","306"
"17-05-2015","452","26","18","507"
"18-05-2015","269","17","11","291"
"19-05-2015","167","9","8","180"
"20-05-2015","368","50","27","420"
"21-05-2015","386","30","22","420"
"22-05-2015","351","46","26","399"
"23-05-2015","314","32","26","353"
"24-05-2015","432","35","24","469"
"25-05-2015","224","24","19","270"
"26-05-2015","0","0","0","0"
"27-05-2015","389","39","28","430"
"28-05-2015","381","24","17","412"
"29-05-2015","417","66","32","486"
"30-05-2015","464","35","26","503"
"31-05-2015","328","53","25","382"
"01-06-2015","426","54","33","495"
"02-06-2015","430","41","26","484"
"03-06-2015","376","46","34","436"
"04-06-2015","312","44","29","369"
"05-06-2015","388","21","15","415"
"06-06-2015","409","56","34","468"
"01-06-2015","426","54","27","495"
"02-06-2015","430","41","19","484"
"03-06-2015","376","46","30","436"
"04-06-2015","312","44","25","369"
"05-06-2015","388","21","14","415"
"06-06-2015","409","56","30","468"
"07-06-2015","54","18","3","87"
"08-06-2015","347","45","21","401"
"09-06-2015","290","33","14","332"
"10-06-2015","379","24","14","411"
"11-06-2015","394","29","17","436"
"12-06-2015","421","23","13","448"
"13-06-2015","169","20","11","196"
"14-06-2015","0","0","0","0"
"15-06-2015","412","17","9","436"
"16-06-2015","379","49","30","438"
"17-06-2015","373","47","23","427"
"18-06-2015","360","51","26","416"
"19-06-2015","358","42","22","401"
"20-06-2015","415","48","29","468"
"21-06-2015","464","39","24","503"
"22-06-2015","388","54","28","444"
"23-06-2015","449","24","15","480"
"24-06-2015","357","29","15","395"
"25-06-2015","379","38","21","420"
"26-06-2015","332","16","7","349"
"27-06-2015","413","38","19","454"
"28-06-2015","438","45","22","488"
"29-06-2015","277","42","15","320"
"30-06-2015","291","22","17","317"
"01-07-2015","370","26","14","444"
"02-07-2015","455","21","13","482"
"03-07-2015","311","19","11","333"
"04-07-2015","550","44","19","594"
"05-07-2015","368","57","27","431"
"06-07-2015","250","19","13","282"
"07-07-2015","76","10","7","92"
"08-07-2015","360","39","18","425"
"09-07-2015","248","12","7","261"
"10-07-2015","410","52","27","463"
"11-07-2015","465","31","16","501"
"12-07-2015","406","22","17","435"
"13-07-2015","347","29","15","385"
"14-07-2015","362","24","14","393"
"15-07-2015","418","20","11","438"
"16-07-2015","411","31","11","451"
"17-07-2015","304","28","16","338"
"18-07-2015","343","50","24","398"
"19-07-2015","368","18","10","391"
"20-07-2015","380","34","24","420"
"21-07-2015","322","41","13","363"
"22-07-2015","0","0","0","0"
"23-07-2015","472","29","16","519"
"24-07-2015","292","23","16","343"
"25-07-2015","304","47","21","357"
"26-07-2015","419","51","25","480"
"27-07-2015","172","6","7","185"
"28-07-2015","303","48","31","356"
"29-07-2015","368","29","23","406"
"30-07-2015","389","36","19","433"
"31-07-2015","415","39","31","467"
"01-08-2015","0","0","0","0"
"02-08-2015","529","78","38","607"
"03-08-2015","294","42","18","351"
"04-08-2015","303","27","16","336"
"05-08-2015","553","31","20","592"
"06-08-2015","402","22","12","427"
"07-08-2015","192","22","12","230"
"08-08-2015","487","27","17","518"
"09-08-2015","544","39","24","583"
"10-08-2015","77","0","0","77"
"11-08-2015","80","2","5","92"
"12-08-2015","0","0","0","0"
"13-08-2015","263","33","17","297"
"14-08-2015","219","15","11","237"
"15-08-2015","551","42","27","593"
"16-08-2015","429","34","16","465"
"17-08-2015","263","7","13","285"
"18-08-2015","445","75","38","526"
"19-08-2015","212","33","15","247"
"20-08-2015","324","22","13","354"
"21-08-2015","465","60","33","525"
"22-08-2015","440","33","23","476"
"23-08-2015","518","28","19","549"
"24-08-2015","375","49","33","446"
"25-08-2015","326","13","6","339"
"26-08-2015","397","21","14","437"
"27-08-2015","497","47","37","549"
"28-08-2015","0","0","0","0"
"29-08-2015","234","5","8","250"
"30-08-2015","52","6","3","69"
"31-08-2015","0","0","0","0"
"01-09-2015","125","13","9","141"
"02-09-2015","316","46","20","366"
"03-09-2015","0","0","0","0"
"04-09-2015","452","26","18","489"
"05-09-2015","479","32","21","512"
"06-09-2015","382","30","18","414"
"07-09-2015","0","0","0","0"
"08-09-2015","153","8","9","163"
"09-09-2015","393","61","33","468"
"10-09-2015","226","12","8","249"
"11-09-2015","249","31","15","287"
"12-09-2015","525","72","45","603"
"13-09-2015","414","61","34","480"
"14-09-2015","0","0","0","0"
"15-09-2015","426","17","11","444"
"16-09-2015","423","40","27","478"
"17-09-2015","407","41","29","457"
"18-09-2015","393","58","30","452"
"19-09-2015","396","35","24","433"
"20-09-2015","0","0","0","0"
"21-09-2015","0","0","0","0"
"22-09-2015","395","35","17","430"
"23-09-2015","420","36","17","456"
"24-09-2015","0","0","0","0"
"25-09-2015","434","35","16","469"
"26-09-2015","359","54","30","414"
"27-09-2015","265","20","10","285"
"28-09-2015","411","38","23","450"
"29-09-2015","309","39","26","348"
"30-09-2015","477","27","16","504"
"01-10-2015","403","45","27","448"
"02-10-2015","431","39","28","470"
"03-10-2015","0","0","0","0"
"04-10-2015","108","7","5","115"
"05-10-2015","78","3","2","81"
"06-10-2015","397","66","35","463"
"07-10-2015","387","17","8","404"
"08-10-2015","0","0","0","0"
"09-10-2015","407","65","33","472"
"10-10-2015","92","7","6","99"
"11-10-2015","0","0","0","0"
"12-10-2015","0","0","0","0"
"13-10-2015","0","0","0","0"
"14-10-2015","0","0","0","0"
"15-10-2015","0","0","0","0"
"16-10-2015","326","29","16","355"
"17-10-2015","444","57","33","505"
"18-10-2015","142","9","6","151"
"19-10-2015","347","45","29","393"
"20-10-2015","0","0","0","0"
"21-10-2015","0","0","0","0"
"22-10-2015","136","21","10","157"
"23-10-2015","209","14","6","223"
"24-10-2015","365","19","14","384"
"25-10-2015","151","16","10","167"
"26-10-2015","226","24","15","250"
"27-10-2015","405","44","23","449"
"28-10-2015","276","28","14","304"
"29-10-2015","0","0","0","0"
"30-10-2015","155","8","5","163"
"31-10-2015","383","41","23","424"
"01-11-2015","319","15","7","334"
"02-11-2015","0","0","0","0"
"03-11-2015","0","0","0","0"
"04-11-2015","345","41","21","386"
"05-11-2015","383","47","28","431"
"06-11-2015","391","23","11","414"
"07-11-2015","231","26","15","257"
"08-11-2015","526","30","17","556"
"09-11-2015","369","62","37","440"
"10-11-2015","291","46","26","337"
"11-11-2015","143","8","5","151"
"12-11-2015","503","50","31","553"
"13-11-2015","0","0","0","0"
"14-11-2015","524","32","14","556"
"15-11-2015","269","36","21","307"
"16-11-2015","0","0","0","0"
"17-11-2015","378","32","23","410"
"18-11-2015","424","31","24","462"
"19-11-2015","353","33","26","386"
"20-11-2015","444","46","25","490"
"21-11-2015","0","0","0","0"
"22-11-2015","0","0","0","0"
"23-11-2015","244","32","16","276"
"24-11-2015","0","0","0","0"
"25-11-2015","69","2","1","71"
"26-11-2015","0","0","0","0"
"27-11-2015","325","22","17","348"
"28-11-2015","404","43","32","448"
"29-11-2015","328","33","22","362"
"30-11-2015","352","37","24","397"
"01-12-2015","275","31","14","306"
"02-12-2015","398","44","33","442"
"03-12-2015","271","37","21","308"
"04-12-2015","0","0","0","0"
"05-12-2015","268","8","4","276"
"06-12-2015","196","19","7","215"
"07-12-2015","232","11","6","243"
